Angle,MiniPAR,TIA
-9.000000000000000000e+01,1.000000000000000021e-02,4.178984000000000032e-01
-6.750000000000000000e+01,1.310000000000000053e+00,8.216131000000000739e+00
-4.500000000000000000e+01,2.580000000000000071e+00,1.465707800000000027e+01
-2.250000000000000000e+01,3.390000000000000124e+00,1.867958199999999991e+01
0.000000000000000000e+00,3.660000000000000142e+00,1.988880400000000037e+01
2.250000000000000000e+01,3.290000000000000036e+00,1.830941400000000030e+01
4.500000000000000000e+01,2.410000000000000142e+00,1.401545100000000055e+01
6.750000000000000000e+01,1.120000000000000107e+00,7.352402999999999800e+00
9.000000000000000000e+01,0.000000000000000000e+00,4.772913599999999840e-02
